GroupID,Denominator,cum_mean_dev_event,Color
0X003,1,0,#3182BD
0X003,2,0.07692307692307693,#3182BD
0X003,3,0.07692307692307693,#3182BD
0X003,4,0.07692307692307693,#3182BD
0X003,5,0.07692307692307693,#3182BD
0X003,6,0.15384615384615388,#3182BD
0X003,7,0.2307692307692308,#3182BD
0X003,8,0.2307692307692308,#3182BD
0X003,9,0.3076923076923077,#3182BD
0X003,10,0.3076923076923077,#3182BD
0X003,11,0.3076923076923077,#3182BD
0X003,12,0.3076923076923077,#3182BD
0X003,13,0.3076923076923077,#3182BD
0X003,14,0.3076923076923077,#3182BD
0X003,15,0.3076923076923077,#3182BD
0X003,16,0.3076923076923077,#3182BD
0X003,17,0.3076923076923077,#3182BD
0X003,18,0.3076923076923077,#3182BD
0X003,19,0.3076923076923077,#3182BD
0X003,20,0.3076923076923077,#3182BD
0X003,21,0.3076923076923077,#3182BD
0X003,22,0.3076923076923077,#3182BD
0X003,23,0.3076923076923077,#3182BD
0X006,1,0,#9ECAE1
0X006,2,1,#9ECAE1
0X006,3,2.5,#9ECAE1
0X006,4,2.5,#9ECAE1
0X006,5,4.5,#9ECAE1
0X006,6,5.25,#9ECAE1
0X006,7,6.5,#9ECAE1
0X006,8,7.25,#9ECAE1
0X006,9,7.25,#9ECAE1
0X006,10,7.25,#9ECAE1
0X006,11,7.25,#9ECAE1
0X006,12,7.5,#9ECAE1
0X006,13,7.5,#9ECAE1
0X006,14,7.75,#9ECAE1
0X006,15,8.25,#9ECAE1
0X006,16,8.25,#9ECAE1
0X006,17,8.5,#9ECAE1
0X006,18,8.5,#9ECAE1
0X006,19,8.5,#9ECAE1
0X006,20,8.5,#9ECAE1
0X006,21,8.5,#9ECAE1
0X013,1,0,#9ECAE1
0X013,2,0,#9ECAE1
0X013,3,0,#9ECAE1
0X013,4,0.16666666666666669,#9ECAE1
0X013,5,0.5,#9ECAE1
0X013,6,0.8333333333333334,#9ECAE1
0X013,7,1.1666666666666667,#9ECAE1
0X013,8,1.1666666666666667,#9ECAE1
0X013,9,1.3333333333333335,#9ECAE1
0X013,10,1.3333333333333335,#9ECAE1
0X013,11,1.3333333333333335,#9ECAE1
0X013,12,1.3333333333333335,#9ECAE1
0X013,13,1.3333333333333335,#9ECAE1
0X013,14,1.3333333333333335,#9ECAE1
0X013,15,1.3333333333333335,#9ECAE1
0X013,16,1.3333333333333335,#9ECAE1
0X013,17,1.3333333333333335,#9ECAE1
